127.0.0.1, 2015-03-14 02:54:56, GET, /admin/default/site, HTTP/1.1, 200, 0.033051
127.0.0.1, 2015-03-14 02:54:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000205
127.0.0.1, 2015-03-14 02:54:56, GET, /admin/default/null, HTTP/1.1, 404, 0.006407
127.0.0.1, 2015-03-14 02:54:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000149
127.0.0.1, 2015-03-14 02:54:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000179
127.0.0.1, 2015-03-14 02:54:58, GET, /myapp/default/index, HTTP/1.1, 200, 0.015421
127.0.0.1, 2015-03-14 02:55:01, GET, /admin/default/index, HTTP/1.1, 303, 0.003843
127.0.0.1, 2015-03-14 02:55:01, GET, /admin/default/site, HTTP/1.1, 200, 0.037200
127.0.0.1, 2015-03-14 02:55:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000198
127.0.0.1, 2015-03-14 02:55:01, GET, /admin/default/null, HTTP/1.1, 404, 0.007067
127.0.0.1, 2015-03-14 02:55:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000154
127.0.0.1, 2015-03-14 02:55:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000267
127.0.0.1, 2015-03-14 02:55:03, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.089901
127.0.0.1, 2015-03-14 02:55:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000197
127.0.0.1, 2015-03-14 02:55:09, GET, /admin/default/peek/myapp/controllers/default.py, HTTP/1.1, 200, 0.029492
127.0.0.1, 2015-03-14 02:55:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000194
127.0.0.1, 2015-03-14 02:55:10, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.068595
127.0.0.1, 2015-03-14 02:55:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000222
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.103159
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001695
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001798
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000908
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001769
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001631
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001701
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000644
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000417
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000306
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000246
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000343
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000372
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000646
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000694
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001257
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001237
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000989
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001135
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001268
